web-scraper-order,web-scraper-start-url,computer_condition,brand,price,processor_ram_storage
"1732296969-1","https://www.expat-dakar.com/ordinateurs?page=245","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732296969-2","https://www.expat-dakar.com/ordinateurs?page=245","Réconditionné","Dell","200 000 F Cfa","Gamer Dell Precision T5400 .7400"
"1732296969-3","https://www.expat-dakar.com/ordinateurs?page=245","Venant","HP","180 000 F Cfa","HP ProBook 650 G1 core i7"
"1732296969-4","https://www.expat-dakar.com/ordinateurs?page=245","Neuf","Toshiba","18 000 F Cfa","Disk HDD 500G ou 1T"
"1732296969-5","https://www.expat-dakar.com/ordinateurs?page=245","Réconditionné","Dell","200 000 F Cfa","DELL 5Ghz.16go.2go graphique"
"1732296969-6","https://www.expat-dakar.com/ordinateurs?page=245","D'occasion","Dell","40 000 F Cfa","Core2.250go.19.Ordinateur Complet"
"1732296969-7","https://www.expat-dakar.com/ordinateurs?page=245","D'occasion","Dell","350 000 F Cfa","Dell Gtx1050Ti 16go Xeon 24"""
"1732296969-8","https://www.expat-dakar.com/ordinateurs?page=245","Neuf","HP","575 000 F Cfa","HP - Hewlett Packard ALL-IN-ONE  core i5"
"1732296978-9","https://www.expat-dakar.com/ordinateurs?page=244","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732296978-10","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","HP","55 000 F Cfa","Ordinateur Core i5+19"
"1732296978-11","https://www.expat-dakar.com/ordinateurs?page=244","Neuf","HP","200 000 F Cfa","ECRAN MONITEUR HP 27 POUCES"
"1732296978-12","https://www.expat-dakar.com/ordinateurs?page=244","Venant","HP","200 000 F Cfa","HP ProBook 650 G2 i7"
"1732296978-13","https://www.expat-dakar.com/ordinateurs?page=244","Venant","Lenovo","35 000 F Cfa","Unité central"
"1732296978-14","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","Dell","350 000 F Cfa","Core I7.16go.gtx1050.24"
"1732296978-15","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","HP","35 000 F Cfa","Ordinateur+17ecran.core2.2go.80go"
"1732296978-16","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","Dell","85 000 F Cfa","Dell core i5"
"1732296978-17","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","Dell","40 000 F Cfa","Ordinateur Dual core.+19"""
"1732296978-18","https://www.expat-dakar.com/ordinateurs?page=244","D'occasion","HP","35 000 F Cfa","Ordinateur+19ecran.core2.2go.80go"
"1732296978-19","https://www.expat-dakar.com/ordinateurs?page=244","Neuf","HP","600 000 F Cfa","All in one hp 24 tactile core i5"
"1732296986-20","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732296986-21","https://www.expat-dakar.com/ordinateurs?page=243","D'occasion","HP","90 000 F Cfa","Core i7.23pouces"
"1732296986-22","https://www.expat-dakar.com/ordinateurs?page=243","Réconditionné","Dell","350 000 F Cfa","GAMER I7 GTX1650"
"1732296986-23","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","HP","530 000 F Cfa","Ordinateur de bureau HP 290 G4 I5 10TH"
"1732296986-24","https://www.expat-dakar.com/ordinateurs?page=243","Réconditionné","Dell","80 000 F Cfa","Ordi Portable Dell Core I5"
"1732296986-25","https://www.expat-dakar.com/ordinateurs?page=243","Réconditionné","HP","150 000 F Cfa","HP PROBOOK 640 G4 I5"
"1732296986-26","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","HP","485 000 F Cfa","Ordinateur de bureau ALL IN ONE HP AIO 200 G4 i3 10th"
"1732296986-27","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","HP","440 000 F Cfa","ordinateur de bureau HP 290 G4 MT I7 10TH SANS ECRAN"
"1732296986-28","https://www.expat-dakar.com/ordinateurs?page=243","D'occasion","HP","45 000 F Cfa","HP Core I3 ordinateur complet"
"1732296986-29","https://www.expat-dakar.com/ordinateurs?page=243","Neuf","Autre","35 000 F Cfa","Pointeuse Biométrique d'empreintes digitales"
"1732296986-30","https://www.expat-dakar.com/ordinateurs?page=243","D'occasion","Dell","350 000 F Cfa","GAMER DELL PRECISION 5810 XEON.NVIDIA 4go.32go"
"1732296995-31","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732296995-32","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","350 000 F Cfa","HP Core I7 neuf + 19"""
"1732296995-33","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","Acer","70 000 F Cfa","Core I5 8go 500go 22"" Wifi"
"1732296995-34","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","HP","40 000 F Cfa","Core 2.dual.+19"""
"1732296995-35","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","HP","55 000 F Cfa","Ordinateur Core I5"
"1732296995-36","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","Lenovo","60 000 F Cfa","UC Lenovo core i5"
"1732296995-37","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","500 000 F Cfa","Hp i7.16go+22""+4go nvidia"
"1732296995-38","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","Lenovo","40 000 F Cfa","Ordinateur+19 pouces"
"1732296995-39","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","400 000 F Cfa","Hp i7.16go+24""+4Go nvidia"
"1732296995-40","https://www.expat-dakar.com/ordinateurs?page=242","D'occasion","HP","45 000 F Cfa","Core i3.wifi+19"
"1732296995-41","https://www.expat-dakar.com/ordinateurs?page=242","Neuf","HP","550 000 F Cfa","All In One Hp 200 G4 I5 10TH"
"1732297003-42","https://www.expat-dakar.com/ordinateurs?page=241","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297003-43","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","Lenovo","65 000 F Cfa","Core i5.wifi.8go.500go.19"""
"1732297003-44","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","HP","300 000 F Cfa","GAMER HP Z420.16GO.GTX1650"
"1732297003-45","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","ASUS","350 000 F Cfa","Gamer Asus GTX I7"
"1732297003-46","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","HP","90 000 F Cfa","Core i7 23pouces"
"1732297003-47","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","HP","180 000 F Cfa","Gaming I7.NVIDIA4Go.16GoRAM+.23"""
"1732297003-48","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","Autre","350 000 F Cfa","GAMING ASUS NVIDIA GTX  I7 3.33GHZ"
"1732297003-49","https://www.expat-dakar.com/ordinateurs?page=241","Neuf","Lenovo","410 000 F Cfa","Lenovo IDEAPAD 3 14ITL6 I5 10TH RAM 8 GO DISQUE 512 GO SSD"
"1732297003-50","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","Dell","160 000 F Cfa","Portable Dell Core I7"
"1732297003-51","https://www.expat-dakar.com/ordinateurs?page=241","D'occasion","HP","65 000 F Cfa","Core I5.8go.500go+ 19"""
"1732297003-52","https://www.expat-dakar.com/ordinateurs?page=241","Neuf","HP","275 000 F Cfa","HP Core I5+19 NEUF"
"1732297012-53","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297012-54","https://www.expat-dakar.com/ordinateurs?page=240","Réconditionné","Lenovo","90 000 F Cfa","Core I7.8GO.22""wifi"
"1732297012-55","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","600 000 F Cfa","ALL IN ONE.Core I5.24""Tactile"
"1732297012-56","https://www.expat-dakar.com/ordinateurs?page=240","D'occasion","HP","45 000 F Cfa","Core i3 + 19 pouces"
"1732297012-57","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","225 000 F Cfa","Hp 6300 core i3+ 19"""
"1732297012-58","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","200 000 F Cfa","HP 6300 CORE2+19"
"1732297012-59","https://www.expat-dakar.com/ordinateurs?page=240","Neuf","HP","290 000 F Cfa","Hp 6300 core i7+ 19"""
"1732297012-60","https://www.expat-dakar.com/ordinateurs?page=240","D'occasion","HP","200 000 F Cfa","GAMER  Z420 Nvidia"
"1732297012-61","https://www.expat-dakar.com/ordinateurs?page=240","Réconditionné","HP","350 000 F Cfa","GAMER Z620.640 GTX 1650"
"1732297012-62","https://www.expat-dakar.com/ordinateurs?page=240","D'occasion","Dell","150 000 F Cfa","Dell core i7"
"1732297012-63","https://www.expat-dakar.com/ordinateurs?page=240","D'occasion","Dell","75 000 F Cfa","Dell 6410 core i5"
"1732297021-64","https://www.expat-dakar.com/ordinateurs?page=239","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297021-65","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","HP","125 000 F Cfa","HP ELITEBOOK 820 G3 I5"
"1732297021-66","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Acer","45 000 F Cfa","Ordinateur Core i3"
"1732297021-67","https://www.expat-dakar.com/ordinateurs?page=239","Neuf","HP","240 000 F Cfa","Hp 6300 core I5+19"
"1732297021-68","https://www.expat-dakar.com/ordinateurs?page=239","Neuf","Lenovo","490 000 F Cfa","LENOVO IP3 14ITL6 CORE I7 10TH"
"1732297021-69","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Lenovo","195 000 F Cfa","Core i7.NVIDIA 730.24"""
"1732297021-70","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Dell","35 000 F Cfa","ORDINATEUR COMPLET"
"1732297021-71","https://www.expat-dakar.com/ordinateurs?page=239","Réconditionné","HP","25 000 F Cfa","ECRAN 22"" AVEC POSSIBILITE HDMI"
"1732297021-72","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","HP","35 000 F Cfa","ORDINATEUR COMPLET ECRAN 19 POUCES"
"1732297021-73","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Dell","150 000 F Cfa","Dell I7 16go 1to 15.6"
"1732297021-74","https://www.expat-dakar.com/ordinateurs?page=239","D'occasion","Dell","170 000 F Cfa","DELL ALL IN ONE.I5.24"""
"1732297031-75","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","694 900 F Cfa","HP VICTUS GAMER 15-fa0033dx"
"1732297031-76","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","510 000 F Cfa","Ordinateur de bureau HP PRO 300 G6 MT I5 10TH"
"1732297031-77","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","550 000 F Cfa","HP 430 G8 I5 11Th"
"1732297031-78","https://www.expat-dakar.com/ordinateurs?page=238","Neuf","HP","485 000 F Cfa","All In One Hp 200 G4 Ecran 24'' pouces"
